country_code	country	Initials	isSmall	ProjFirstYear	MigCode	WPPAIDS	AgeMortalityType	AgeMortalityPattern	LatestAgeMortalityPattern	SmoothLatestAgeMortalityPattern	PasfrNorm	PasfrGlobalNorm	PasfrFarEastAsianNorm	PasfrSouthAsianNorm
4	Afghanistan	PG	0	1950	0	0	Relational model	CD_West	1	0	Global Norm	0	0	0
8	Albania	TS	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
12	Algeria	TS	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
16	American Samoa	DG	1	1950	9	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
20	Andorra	TS	1	1950	9	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
24	Angola	KA	0	1950	0	1	Model life tables	CD_North	1	1	Global Norm	0	0	0
660	Anguilla	DG	1	1950	0	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
28	Antigua and Barbuda	DG	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
32	Argentina	DG	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
51	Armenia	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
533	Aruba	DG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
36	Australia	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
40	Austria	TS	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	1	0	0
31	Azerbaijan	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
44	Bahamas	LN	0	1950	9	1	Model life tables	CD_West	1	1	Global Norm	0	0	0
48	Bahrain	PG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
50	Bangladesh	PG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	1
52	Barbados	LN	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
112	Belarus	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	0	1	Global Norm	0	0	0
56	Belgium	TS	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
84	Belize	DG	0	1950	9	1	Model life tables	CD_West	1	1	Global Norm	0	0	0
204	Benin	PG	0	1950	0	1	Model life tables	CD_South	1	0	Global Norm	0	0	0
60	Bermuda	KA	1	1950	0	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
64	Bhutan	PG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
68	Bolivia (Plurinational State of)	DG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
70	Bosnia and Herzegovina	TS	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
72	Botswana	KA	0	1950	0	1	Model life tables	CD_West	1	1	Global Norm	0	0	0
76	Brazil	DG	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
92	British Virgin Islands	LN	1	1950	0	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
96	Brunei Darussalam	LN	0	1950	9	0	Relational model	CD_West	1	1	Global Norm	0	0	0
100	Bulgaria	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
854	Burkina Faso	PG	0	1950	0	1	Model life tables	CD_South	1	0	Global Norm	0	0	0
108	Burundi	TS	0	1950	0	1	Model life tables	CD_North	1	0	Global Norm	0	0	0
116	Cambodia	PG	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
120	Cameroon	TS	0	1950	0	1	Model life tables	CD_North	1	0	Global Norm	0	0	0
124	Canada	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
132	Cape Verde	PG	0	1950	0	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
535	Caribbean Netherlands	DG	1	1950	9	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
136	Cayman Islands	LN	1	1950	9	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
140	Central African Republic	DG	0	1950	0	1	Model life tables	CD_North	1	0	Global Norm	0	0	0
148	Chad	TS	0	1950	0	1	Model life tables	CD_North	1	0	Global Norm	0	0	0
830	Channel Islands	LN	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
152	Chile	DG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
156	China	LN	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
344	China, Hong Kong SAR	LN	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	1	0
446	China, Macao SAR	LN	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	1	0
158	China, Taiwan Province of China	LN	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	1	0
170	Colombia	DG	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
174	Comoros	LN	0	1950	0	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
178	Congo	KA	0	1950	0	1	Model life tables	CD_West	1	0	Global Norm	0	0	0
184	Cook Islands	DG	1	1950	0	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
188	Costa Rica	DG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
384	Cote d'Ivoire	PG	0	1950	9	1	Model life tables	CD_North	1	1	Global Norm	0	0	0
191	Croatia	TS	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
192	Cuba	DG	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
531	Curacao	DG	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
196	Cyprus	DG	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
203	Czech Republic	TS	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	1	0	0
408	Dem. People's Rep. of Korea	TS	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
180	Dem. Rep. of the Congo	KA	0	1950	0	0	Model life tables	CD_North	0	0	Global Norm	0	0	0
208	Denmark	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	1	0	0
262	Djibouti	TS	0	1950	9	1	Model life tables	CD_North	1	0	Global Norm	0	0	0
212	Dominica	DG	1	1950	0	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
214	Dominican Republic	DG	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
218	Ecuador	DG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
818	Egypt	TS	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
222	El Salvador	DG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
226	Equatorial Guinea	DG	0	1950	0	1	Model life tables	CD_North	1	0	Global Norm	0	0	0
232	Eritrea	TS	0	1950	9	0	Model life tables	CD_North	0	0	Global Norm	0	0	0
233	Estonia	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
231	Ethiopia	TS	0	1950	9	1	Model life tables	CD_North	1	0	Global Norm	0	0	0
234	Faeroe Islands	KA	1	1950	9	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
238	Falkland Islands (Malvinas)	LN	1	1950	0	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
242	Fiji	LN	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
246	Finland	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
250	France	TS	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	1	0	0
254	French Guiana	DG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
258	French Polynesia	TS	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
266	Gabon	TS	0	1950	0	1	Model life tables	CD_North	1	0	Global Norm	0	0	0
270	Gambia	PG	0	1950	0	0	Relational model	CD_South	1	0	Global Norm	0	0	0
268	Georgia	KA	0	1950	0	0	Age specific mortality pattern	Life_Tables	0	1	Global Norm	0	0	0
276	Germany	TS	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	1	0	0
288	Ghana	PG	0	1950	0	1	Model life tables	CD_South	1	0	Global Norm	0	0	0
292	Gibraltar	LN	1	1950	0	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
300	Greece	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
304	Greenland	KA	1	1950	9	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
308	Grenada	DG	0	1950	9	0	Model life tables	CD_West	1	1	Global Norm	0	0	0
312	Guadeloupe	DG	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
316	Guam	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
320	Guatemala	DG	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
324	Guinea	PG	0	1950	0	1	Model life tables	CD_South	1	0	Global Norm	0	0	0
624	Guinea-Bissau	PG	0	1950	0	0	Relational model	CD_South	1	0	Global Norm	0	0	0
328	Guyana	LN	0	1950	9	0	Relational model	CD_West	1	1	Global Norm	0	0	0
332	Haiti	DG	0	1950	9	1	Model life tables	CD_West	1	1	Global Norm	0	0	0
336	Holy See	LN	1	1950	9	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
340	Honduras	DG	0	1950	9	1	Model life tables	CD_West	1	0	Global Norm	0	0	0
348	Hungary	TS	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
352	Iceland	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
356	India	PG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	1
360	Indonesia	LN	0	1950	9	0	Relational model	CD_West	1	1	Global Norm	0	0	0
364	Iran (Islamic Republic of)	PG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
368	Iraq	PG	0	1950	0	0	Relational model	CD_West	1	1	Global Norm	0	0	0
372	Ireland	LN	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
833	Isle of Man	DG	1	1950	0	0	Model life tables	CD_West	0	0	Global Norm	0	0	0
376	Israel	PG	0	1950	0	0	Age specific mortality pattern	Life_Tables	1	1	Global Norm	0	0	0
380	Italy	LN	0	1950	9	0	Age specific mortality pattern	Life_Tables	1	0	Global Norm	0	0	0
