country_code	country	Initials	isSmall	ProjFirstYear	MigCode	WPPAIDS	AgeMortalityType	AgeMortalityPattern	AgeMortProjMethod1	AgeMortProjMethod2	AgeMortProjPattern	AgeMortProjMethodWeights	AgeMortProjAdjSR	LatestAgeMortalityPattern	SmoothLatestAgeMortalityPattern	SmoothDFLatestAgeMortalityPattern	PasfrNorm	PasfrGlobalNorm	ConstantPasfr	PasfrFarEastAsianNorm	PasfrSouthAsianNorm	MigAgeSchedule	MigAgeZeroNeg	MigAgeEqualMFratio
4	Afghanistan	SHYK	0	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
8	Albania	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
12	Algeria	VK	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
16	American Samoa	PG	1	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.85)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
20	Andorra	PG	1	1950	9	0	Model life tables	CD_West	modPMD	MLT	CD_West	"c(1,0.9)"	0	"c(-2,1)"	0	65	ConstantPasfr	0	1	0	0	0	0	0
24	Angola	IW	0	1950	9	1	Age specific mortality pattern	HIVmortmod	modPMD	MLT	CD_North	"c(1,0.5)"	0	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
660	Anguilla	PG	1	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
28	Antigua and Barbuda	IW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	388	0	1
32	Argentina	IW	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
51	Armenia	VK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
533	Aruba	IW	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	388	0	1
36	Australia	LZ	0	1950	9	0	Age specific mortality pattern	CD_North	LC				0	"c(-2,5)"	1	65	Global Norm	1	0	0	0	0	0	0
40	Austria	LZ	0	1950	9	0	Age specific mortality pattern	CD_West	LC				0	"c(-2,5)"	1	65	Global Norm	1	0	0	0	0	0	0
31	Azerbaijan	VK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
44	Bahamas	IW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-3,4)"	1	65	Global Norm	0	0	0	0	0	0	0
48	Bahrain	SHYK	0	1950	9	0	Model life tables	LogQuad	modPMD	MLT	CD_West	"c(1,0.75)"	3	"c(-2,1)"	0	65	Global Norm	0	0	0	0	0	0	0
50	Bangladesh	SHYK	0	1950	9	0	Age specific mortality pattern	CD_West	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	1	356	0	1
52	Barbados	IW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
112	Belarus	MW	0	1950	9	0	Age specific mortality pattern	LogQuad	modPMD	MLT	CD_West	"c(1,0.9)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
56	Belgium	MW	0	1950	9	0	Age specific mortality pattern	CD_West	LC				0	"c(-2,5)"	1	65	Global Norm	1	0	0	0	0	0	0
84	Belize	IW	0	1950	9	0	Age specific mortality pattern	HIVmortmod	modPMD	MLT	CD_West	"c(1,0.5)"	3	"c(-2,5)"	1	65	Global Norm	0	0	0	0	0	0	0
