"index"	"country"	"country_code"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
1	"Afghanistan"	4	"  0"	0.344188223	0.32211934	0.300127171	0.274951642	0.251196545	0.227832338	0.21230952	0.197782266	0.185912485	0.173697107	0.162739904	0.153396052	0.139050434	0.127375704	0.116099155	0.105374013	0.095494808	0.086360812	0.07805159	0.070651906	0.064154296	0.058538458	0.053610565	0.049427407	0.046012782	0.043091732	0.040638475	0.038553585	0.03670722	0.035256512
2	"Afghanistan"	4	"  1"	0.046485072	0.043439404	0.040382825	0.036821963	0.033426809	0.0300627	0.027819039	0.025666025	0.02392527	0.022108822	0.020224104	0.018517282	0.016146265	0.014616937	0.013142971	0.01176743	0.01031385	0.008994282	0.007809843	0.006741241	0.00583019	0.005076793	0.0045356	0.004073455	0.003707469	0.003388059	0.003133916	0.002924219	0.002728303	0.00258643
3	"Afghanistan"	4	"  5"	0.010669827	0.010021302	0.009361689	0.008611763	0.007887226	0.007160274	0.006664041	0.006212918	0.005828676	0.005435213	0.005047099	0.004690172	0.00420131	0.003823428	0.003411057	0.002950786	0.002634359	0.00230911	0.001992265	0.001729646	0.001504069	0.001301101	0.001151947	0.001009431	0.000908282	0.000810242	0.000734159	0.000671914	0.000610289	0.000566164
4	"Afghanistan"	4	" 10"	0.005018116	0.004784403	0.004540711	0.004247124	0.003955816	0.003656744	0.00344957	0.003251625	0.003085149	0.002909436	0.002735702	0.002577871	0.002364538	0.002111102	0.001868259	0.001639286	0.00142591	0.0012287	0.00105422	0.000900143	0.000766067	0.000651675	0.000555725	0.000472619	0.000406589	0.000349722	0.000304274	0.0002651	0.000232415	0.000207731
5	"Afghanistan"	4	" 15"	0.008990325	0.008505568	0.008013015	0.007437325	0.006879677	0.006317538	0.0059367	0.005574819	0.005274264	0.00496249	0.004677403	0.004430803	0.004055631	0.00360776	0.003178525	0.002775575	0.002404038	0.002063468	0.001763399	0.001502112	0.001274377	0.001081624	0.000918161	0.000778849	0.000665024	0.000568184	0.000488823	0.000421744	0.000365886	0.000321058
6	"Afghanistan"	4	" 20"	0.012340078	0.011674941	0.010999478	0.010208466	0.009443737	0.008673295	0.008152373	0.007656815	0.007245632	0.006817702	0.006442652	0.006128008	0.005612322	0.004974377	0.004368639	0.003801804	0.003283941	0.002809517	0.002392498	0.002033586	0.001718761	0.001454762	0.001227694	0.001034927	0.000878577	0.000747143	0.000638861	0.000548129	0.00047221	0.000411889
7	"Afghanistan"	4	" 25"	0.014464776	0.013666909	0.01285519	0.011905107	0.010988013	0.010065893	0.009442114	0.008848351	0.008358965	0.007847747	0.007404195	0.007034789	0.006417706	0.005671504	0.004965889	0.004308514	0.00371175	0.003166704	0.002690225	0.00228088	0.001925355	0.001630231	0.001383631	0.001174746	0.001004459	0.000861614	0.000745718	0.000650087	0.000567022	0.000504061
8	"Afghanistan"	4	" 30"	0.016418367	0.01550287	0.014570065	0.01347987	0.01242975	0.011373472	0.010657457	0.009977338	0.009417598	0.008832109	0.008331244	0.007913463	0.007209994	0.006385404	0.005603408	0.00487335	0.004209732	0.003604352	0.003073892	0.002616833	0.002222068	0.001893993	0.001625529	0.001396822	0.00120767	0.001047178	0.000919103	0.000812589	0.000720705	0.000650417
9	"Afghanistan"	4	" 35"	0.019567565	0.018487053	0.01738561	0.016101109	0.01486356	0.013619253	0.012776855	0.011978451	0.011319211	0.010631555	0.010033096	0.009529755	0.008710774	0.007774209	0.006882921	0.006043141	0.005275231	0.004568932	0.003946795	0.003406661	0.002936318	0.002542386	0.002209039	0.001924532	0.001688881	0.001487915	0.001325214	0.001187462	0.00106982	0.000978283
10	"Afghanistan"	4	" 40"	0.023372623	0.022117616	0.020842774	0.019355637	0.01792178	0.016484313	0.015512486	0.014591329	0.013830652	0.013038757	0.012335926	0.011739179	0.010822388	0.009800719	0.008815069	0.007871866	0.006998502	0.006179323	0.005449456	0.004806783	0.004234579	0.003749622	0.003321288	0.002952272	0.002633389	0.002361619	0.002133421	0.001937105	0.001766573	0.001629498
11	"Afghanistan"	4	" 45"	0.028106625	0.026671427	0.025216324	0.023520264	0.021887044	0.020250876	0.019144242	0.018097555	0.017233065	0.016334641	0.015535182	0.014854825	0.013853453	0.012781476	0.011724757	0.01069299	0.00971711	0.008780675	0.007930695	0.007169816	0.006472797	0.00587202	0.005319185	0.004832066	0.004391536	0.004009628	0.003677973	0.003382779	0.003124145	0.002907685
12	"Afghanistan"	4	" 50"	0.034813656	0.033158407	0.031480157	0.029527418	0.027651107	0.025769981	0.024502279	0.023301751	0.022311999	0.021282968	0.020362542	0.019576712	0.018466176	0.017333204	0.016195552	0.015062461	0.013968794	0.012893849	0.011902418	0.010997266	0.010144612	0.009398177	0.008677163	0.008031565	0.007427256	0.00689754	0.006418977	0.005979364	0.005590844	0.0052512
13	"Afghanistan"	4	" 55"	0.044591028	0.042647211	0.040680808	0.038394538	0.036199109	0.03400382	0.032526226	0.031127281	0.029975461	0.028776896	0.027702546	0.026785201	0.025520204	0.024291741	0.023039686	0.021769536	0.020528764	0.019276414	0.01810754	0.017025068	0.015970396	0.015040278	0.014097689	0.013250004	0.012433095	0.011713299	0.011038391	0.010404264	0.009838904	0.00932143
14	"Afghanistan"	4	" 60"	0.059956923	0.057534618	0.055089492	0.052252692	0.049534044	0.046823474	0.045000409	0.043278755	0.041859808	0.040388918	0.039078369	0.037964818	0.036438437	0.035029433	0.033575183	0.032081774	0.030610303	0.029092146	0.027662409	0.026327848	0.024987946	0.023804694	0.022561776	0.02143836	0.020332273	0.019353151	0.018409612	0.017504944	0.016692943	0.015924302
15	"Afghanistan"	4	" 65"	0.082576304	0.079452971	0.076317716	0.072696601	0.069232236	0.065795632	0.06349016	0.061315809	0.05953304	0.057683253	0.056054654	0.05467393	0.052790967	0.05111265	0.049358092	0.047548127	0.04574899	0.043841662	0.042037234	0.040332804	0.038577229	0.037013451	0.035325459	0.033782559	0.032231583	0.030848403	0.029484618	0.028153617	0.026948162	0.025780747
16	"Afghanistan"	4	" 70"	0.118663586	0.114477548	0.110302743	0.105486147	0.100896757	0.096376672	0.093354269	0.090503975	0.088178314	0.085763448	0.083664596	0.081890288	0.079479683	0.077064144	0.074558054	0.071975266	0.06941728	0.066690788	0.064110269	0.061665337	0.059117008	0.056840705	0.054370925	0.052092468	0.049785948	0.047708398	0.045640659	0.043603789	0.041746745	0.039918462
17	"Afghanistan"	4	" 75"	0.169601982	0.164249374	0.158914731	0.152728305	0.146889635	0.141158871	0.13734592	0.133749547	0.130815353	0.127780725	0.125175882	0.122992765	0.120028139	0.116469488	0.112828675	0.109019988	0.105277724	0.10130848	0.09752259	0.09393736	0.090176155	0.086805421	0.08315201	0.079746809	0.076306278	0.073159926	0.070017465	0.06689691	0.064034888	0.061177947
18	"Afghanistan"	4	" 80"	0.236031471	0.229534595	0.223064682	0.215519861	0.208478382	0.201600447	0.197055971	0.192773297	0.189283173	0.185695645	0.182669557	0.180166477	0.176776454	0.171780162	0.16673007	0.161363692	0.156127883	0.150585762	0.145256318	0.140208606	0.134865757	0.130061722	0.124850261	0.119937348	0.114976179	0.11036604	0.105741791	0.10110621	0.096825043	0.092492165
19	"Afghanistan"	4	" 85"	0.31798656	0.310580024	0.303213313	0.294573288	0.286618518	0.278903133	0.273855895	0.269111471	0.265256308	0.261330832	0.258102286	0.255485957	0.251965714	0.245370074	0.238771365	0.231642886	0.22473264	0.217405917	0.210301602	0.203569263	0.196356808	0.189853081	0.182774799	0.176017259	0.169186363	0.162729621	0.156219585	0.149619098	0.143472514	0.137163576
