reg_code	name	inmigrationM_share	inmigrationF_share	outmigrationM_share	outmigrationF_share
658	Alberta	0.156	0.1373	0.1002	0.0961
659	British Columbia	0.0939	0.0929	0.0834	0.0822
660	Manitoba	0.0192	0.0191	0.0291	0.0285
661	New Brunswick	0.0175	0.0171	0.0223	0.0208
662	Newfoundland and Labrador	0.0139	0.0135	0.0137	0.0126
663	Northwest Territories	0.0034	0.0033	0.0041	0.0039
664	Nova Scotia	0.0252	0.0255	0.0303	0.0287
665	Nunavut	0.0016	0.0016	0.0017	0.0017
666	Ontario	0.108	0.1084	0.1321	0.1224
667	Prince Edward Island	0.0043	0.0045	0.0058	0.0054
668	Quebec	0.0333	0.0331	0.0537	0.0514
669	Saskatchewan	0.0325	0.0299	0.0324	0.0326
670	Yukon	0.0025	0.0026	0.0022	0.0023
