"reg_code"	"name"	"age"	"1925"	"1930"	"1935"	"1940"	"1945"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"	"2015"
658	"Alberta"	"0-4"	37.52467	38.5085	38.8	37.13341	41.48355	55.05918	72.25916	89.03399	93.6649	79.2074	78.002	93.334	106.576	108.298	104.237	99.328	104.217	125.39	138.837
658	"Alberta"	"5-9"	38.14165	40.03342	39.63315	38.8	36.75836	44.22549	59.90904	76.35917	90.39238	93.52307	82.859	88.937	94.762	105.144	109.408	109.332	106.238	111.01	133.825
658	"Alberta"	"10-14"	33.45864	39.1252	41.20822	39.09151	37.49151	38.25014	47.10878	61.70082	77.44405	90.60056	97.85	91.531	90.198	94.316	107.486	114.571	116.547	115.259	119.32
658	"Alberta"	"15-19"	27.9252	35.47535	38.71671	40.52493	36.94986	37.49178	40.15014	47.50877	60.60764	77.75741	97.622	112.853	95.392	92.853	99.165	114.585	126.796	126.682	125.617
658	"Alberta"	"20-24"	24.73343	32.2504	35.72521	36.94165	37.63287	37.38356	41.55015	43.97507	47.99976	65.02379	92.126	134.668	127.897	102.047	99.246	115.323	134.915	144.837	150.682
658	"Alberta"	"25-29"	24.69151	30.72546	33.75835	33.17506	33.54164	36.85862	43.87534	48.66684	46.72862	54.39538	81.103	119.037	138.807	126.68	107.236	116.543	132.139	163.705	176.149
658	"Alberta"	"30-34"	25.69973	27.32521	30.76685	31.06659	30.65835	34.55863	40.97534	48.61699	50.19784	49.40698	64.011	96.566	118.749	131.628	128.648	117.052	127.502	149.528	186.19
658	"Alberta"	"35-39"	28.82493	28.4	27.24164	28.99179	28.95836	32.7085	38.88357	44.65862	49.21679	50.82669	52.891	72.609	95.031	112.82	132.248	136.421	125.692	141.564	165.532
658	"Alberta"	"40-44"	25.75014	28.89177	27.90823	25.62494	26.98329	29.30848	34.4252	39.74192	43.81476	48.40206	52.551	58.933	71.181	92.067	112.458	136.195	143.547	136.958	150.773
658	"Alberta"	"45-49"	19.86686	25.74191	28.44165	25.99151	23.95836	26.14192	30.69178	35.1252	38.73556	42.6177	48.951	55.059	57.323	68.515	91.488	114.13	140.04	152.8	142.051
658	"Alberta"	"50-54"	14.73343	19.15862	24.86685	26.18328	23.87479	23.01672	26.75015	30.06685	33.50111	36.67055	43.142	49.957	53.285	55.156	66.795	91.9	116.166	145.52	153.51
658	"Alberta"	"55-59"	9.97508	12.82521	18.04191	22.35014	23.70822	21.18328	22.23343	25.76684	28.13052	31.74179	35.162	41.917	47.731	50.847	53.799	65.978	91.269	116.561	143.782
